"filename", "language", "JavaScript", "JSON", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\samue\Desktop\Projects\ICT\app.js", "JavaScript", 81, 0, 0, 0, 0, 3, 17, 101
"c:\Users\samue\Desktop\Projects\ICT\oauth.js", "JavaScript", 62, 0, 0, 0, 0, 0, 3, 65
"c:\Users\samue\Desktop\Projects\ICT\package-lock.json", "JSON", 0, 3637, 0, 0, 0, 0, 1, 3638
"c:\Users\samue\Desktop\Projects\ICT\package.json", "JSON", 0, 38, 0, 0, 0, 0, 1, 39
"c:\Users\samue\Desktop\Projects\ICT\profile.js", "JavaScript", 83, 0, 0, 0, 0, 2, 5, 90
"c:\Users\samue\Desktop\Projects\ICT\public\admin.css", "CSS", 0, 0, 0, 226, 0, 0, 1, 227
"c:\Users\samue\Desktop\Projects\ICT\public\animate.js", "JavaScript", 175, 0, 0, 0, 0, 1, 14, 190
"c:\Users\samue\Desktop\Projects\ICT\public\app.js", "JavaScript", 118, 0, 0, 0, 0, 10, 6, 134
"c:\Users\samue\Desktop\Projects\ICT\public\images\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\samue\Desktop\Projects\ICT\public\katex.min.css", "CSS", 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\samue\Desktop\Projects\ICT\public\katex.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\samue\Desktop\Projects\ICT\public\particles.js", "JavaScript", 1287, 0, 0, 0, 0, 111, 165, 1563
"c:\Users\samue\Desktop\Projects\ICT\public\particles.json", "JSON", 0, 110, 0, 0, 0, 0, 1, 111
"c:\Users\samue\Desktop\Projects\ICT\public\profile.css", "CSS", 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\samue\Desktop\Projects\ICT\public\render.js", "JavaScript", 24, 0, 0, 0, 0, 20, 4, 48
"c:\Users\samue\Desktop\Projects\ICT\public\style.css", "CSS", 0, 0, 0, 117, 0, 0, 15, 132
"c:\Users\samue\Desktop\Projects\ICT\routes\admin.js", "JavaScript", 304, 0, 0, 0, 0, 32, 19, 355
"c:\Users\samue\Desktop\Projects\ICT\routes\grade.js", "JavaScript", 498, 0, 0, 0, 0, 100, 45, 643
"c:\Users\samue\Desktop\Projects\ICT\routes\runTests.js", "JavaScript", 79, 0, 0, 0, 0, 7, 10, 96
"c:\Users\samue\Desktop\Projects\ICT\routes\sql.js", "JavaScript", 619, 0, 0, 0, 0, 27, 3, 649
"c:\Users\samue\Desktop\Projects\ICT\views\addChecker.ejs", "HTML", 0, 0, 28, 0, 0, 0, 1, 29
"c:\Users\samue\Desktop\Projects\ICT\views\addSol.ejs", "HTML", 0, 0, 28, 0, 0, 0, 0, 28
"c:\Users\samue\Desktop\Projects\ICT\views\addTests.ejs", "HTML", 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\samue\Desktop\Projects\ICT\views\admin.ejs", "HTML", 0, 0, 39, 0, 0, 0, 2, 41
"c:\Users\samue\Desktop\Projects\ICT\views\adminqueue.ejs", "HTML", 0, 0, 46, 0, 0, 0, 5, 51
"c:\Users\samue\Desktop\Projects\ICT\views\attendance.ejs", "HTML", 0, 0, 46, 0, 0, 0, 13, 59
"c:\Users\samue\Desktop\Projects\ICT\views\contest.ejs", "HTML", 0, 0, 116, 0, 0, 0, 3, 119
"c:\Users\samue\Desktop\Projects\ICT\views\contestStatus.ejs", "HTML", 0, 0, 79, 0, 0, 0, 3, 82
"c:\Users\samue\Desktop\Projects\ICT\views\contests.ejs", "HTML", 0, 0, 85, 0, 0, 0, 3, 88
"c:\Users\samue\Desktop\Projects\ICT\views\danielorz.ejs", "HTML", 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\samue\Desktop\Projects\ICT\views\finProblem.ejs", "HTML", 0, 0, 23, 0, 0, 0, 0, 23
"c:\Users\samue\Desktop\Projects\ICT\views\firstTime.ejs", "HTML", 0, 0, 43, 0, 0, 0, 13, 56
"c:\Users\samue\Desktop\Projects\ICT\views\fprofile.ejs", "HTML", 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\samue\Desktop\Projects\ICT\views\genTests.ejs", "HTML", 0, 0, 58, 0, 0, 1, 0, 59
"c:\Users\samue\Desktop\Projects\ICT\views\gradeProblem.ejs", "HTML", 0, 0, 68, 0, 0, 0, 4, 72
"c:\Users\samue\Desktop\Projects\ICT\views\gradeProblemset.ejs", "HTML", 0, 0, 45, 0, 0, 0, 3, 48
"c:\Users\samue\Desktop\Projects\ICT\views\gradeStatus.ejs", "HTML", 0, 0, 79, 0, 0, 0, 4, 83
"c:\Users\samue\Desktop\Projects\ICT\views\gradeSubmit.ejs", "HTML", 0, 0, 93, 0, 0, 0, 7, 100
"c:\Users\samue\Desktop\Projects\ICT\views\index.ejs", "HTML", 0, 0, 39, 0, 0, 7, 6, 52
"c:\Users\samue\Desktop\Projects\ICT\views\info.ejs", "HTML", 0, 0, 77, 0, 0, 0, 5, 82
"c:\Users\samue\Desktop\Projects\ICT\views\megaknight.ejs", "HTML", 0, 0, 13, 0, 0, 0, 4, 17
"c:\Users\samue\Desktop\Projects\ICT\views\megaknightmovement.ejs", "HTML", 0, 0, 13, 0, 0, 0, 4, 17
"c:\Users\samue\Desktop\Projects\ICT\views\phone.ejs", "HTML", 0, 0, 36, 0, 0, 0, 5, 41
"c:\Users\samue\Desktop\Projects\ICT\views\portal.ejs", "HTML", 0, 0, 78, 0, 0, 1, 1, 80
"c:\Users\samue\Desktop\Projects\ICT\views\profile.ejs", "HTML", 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\samue\Desktop\Projects\ICT\views\spamming.ejs", "HTML", 0, 0, 38, 0, 0, 0, 4, 42
"c:\Users\samue\Desktop\Projects\ICT\views\standings.ejs", "HTML", 0, 0, 74, 0, 0, 0, 2, 76
"c:\Users\samue\Desktop\Projects\ICT\views\status.ejs", "HTML", 0, 0, 68, 0, 0, 0, 2, 70
"c:\Users\samue\Desktop\Projects\ICT\views\tjioiLogin.ejs", "HTML", 0, 0, 31, 0, 0, 0, 10, 41
"c:\Users\samue\Desktop\Projects\ICT\views\tjioiProfile.ejs", "HTML", 0, 0, 75, 0, 0, 0, 5, 80
"Total", "-", 3331, 3785, 1508, 351, 1, 322, 424, 9722
